titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Southland,,8.5,"['Crime', 'Drama', 'Thriller']",2009–2013,42m,The lives of Police Officers working for the Los Angeles Police Department.,"['Michael Cudlitz', 'Shawn Hatosy', 'Regina King']",TV-MA,United States
Big Little Lies,,8.5,"['Crime', 'Drama', 'Mystery']",2017–2019,1h,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"['Reese Witherspoon', 'Nicole Kidman', 'Shailene Woodley']",TV-MA,United States
Avrupa Yakasi,,8.6,['Comedy'],2004–2009,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"['Gülse Birsel', 'Levent Üzümcü', 'Senay Gürler']",,Turkey
Foyle's War,,8.6,"['Crime', 'Drama', 'Mystery']",2002–2015,1h 30m,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","['Michael Kitchen', 'Honeysuckle Weeks', 'Anthony Howell']",TV-14,United Kingdom
The Angry Video Game Nerd,,8.5,['Comedy'],2004– ,35m,A foul-mouthed nerd reviews bad video games.,"['James Rolfe', 'Mike Matei', 'Kyle Rogers']",TV-MA,United States
Your Lie in April,Original title: Shigatsu wa kimi no uso,8.6,"['Animation', 'Comedy', 'Drama']",2014–2018,23m,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"['Natsuki Hanae', 'Risa Taneda', 'Ayane Sakura']",TV-PG,Japan
Generation Kill,,8.5,"['Drama', 'War']",2008,1h 10m,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","['Alexander Skarsgård', 'James Ransone', 'Lee Tergesen']",TV-MA,United States
The Night Of,,8.5,"['Crime', 'Drama', 'Mystery']",2016,8h 45m,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","['Riz Ahmed', 'John Turturro', 'Bill Camp']",TV-MA,United States
Derry Girls,,8.5,['Comedy'],2018–2022,30m,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,"['Saoirse-Monica Jackson', 'Louisa Harland', ""Tara Lynne O'Neill""]",TV-MA,United Kingdom
My Brilliant Friend,Original title: L'amica geniale,8.6,['Drama'],2018– ,1h,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"['Alba Rohrwacher', 'Margherita Mazzucco', 'Gaia Girace']",TV-MA,Italy
Alfred Hitchcock Presents,,8.5,"['Comedy', 'Crime', 'Drama']",1955–1962,25m,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","['Alfred Hitchcock', 'Harry Tyler', 'John Williams']",TV-14,United States
Cobra Kai,,8.5,"['Action', 'Comedy', 'Drama']",2018–2023,30m,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","['Ralph Macchio', 'William Zabka', 'Courtney Henggeler']",TV-14,United States
Regular Show,,8.5,"['Animation', 'Action', 'Adventure']",2009–2017,23m,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"['J.G. Quintel', 'William Salyers', 'Sam Marin']",TV-PG,United States
Community,,8.5,['Comedy'],2009–2015,22m,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"['Joel McHale', 'Danny Pudi', 'Donald Glover']",TV-14,United States
Chef's Table,,8.5,['Documentary'],2015–2019,50m,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","['Bill Buford', 'Massimo Bottura', 'Francis Mallmann']",TV-MA,United States
Jujutsu Kaisen,,8.5,"['Animation', 'Action', 'Adventure']",2020– ,24m,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"['Junya Enoki', 'Adam McArthur', 'Yûichi Nakamura']",TV-MA,Japan
The Expanse,,8.5,"['Drama', 'Mystery', 'Sci-Fi']",2015–2022,1h,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","['Daniel Abraham', 'Mark Fergus', 'Ty Franck', 'Steven Strait', 'Dominique Tipper', 'Wes Chatham']",TV-14,United States
Umbre,,8.7,"['Crime', 'Drama', 'Thriller']",2014–2019,45m,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","['Serban Pavlu', 'Maria Obretin', 'Andreea Vasile']",TV-MA,Romania
Rocket Boys,,8.9,"['Drama', 'History']",2022– ,,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","['Jim Sarbh', 'Saba Azad', 'Regina Cassandra']",,India
Hannibal,,8.5,"['Crime', 'Drama', 'Horror']",2013–2015,44m,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"['Hugh Dancy', 'Mads Mikkelsen', 'Caroline Dhavernas']",TV-MA,United States
Rurouni Kenshin: Trust and Betrayal,Original title: Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,8.6,"['Animation', 'Action', 'Adventure']",1999,1h 58m,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.","['Mayo Suzukaze', 'Junko Iwao', 'Nozomu Sasaki']",TV-MA,Japan
Happy Valley,,8.5,"['Crime', 'Drama', 'Thriller']",2014–2023,58m,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"['Sarah Lancashire', 'Siobhan Finneran', 'James Norton']",TV-MA,United Kingdom
Schitt's Creek,,8.5,['Comedy'],2015–2020,22m,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","['Eugene Levy', ""Catherine O'Hara"", 'Dan Levy']",TV-14,Canada
Spartacus: Gods of the Arena,,8.5,"['Action', 'Adventure', 'Biography']",2011,5h 31m,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","['John Hannah', 'Manu Bennett', 'Peter Mensah']",TV-MA,United States
From the Earth to the Moon,,8.6,"['Action', 'Drama', 'History']",1998,1h,Dramatized portrayal of the Apollo manned space program.,"['Tom Hanks', 'Nick Searcy', 'Lane Smith']",TV-14,United States
